"Refs","Value","Footprint","Qty","DNP"
"C_BULK1","100uF/25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C_BULK2","47uF/10V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C_BULK3","47uF/10V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C_DEC1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_DEC2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_DEC3","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_DEC4","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"D_REVERSE?","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J_DS18B20","1-Wire","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J_I2C?","I2C OLED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J_POWER?","PWR_IN 9-24V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J_REL1","K1 COM/NO/NC","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J_REL2","K2 COM/NO/NC","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J_RS485","RS485 A/B/GND","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"K1","SRD-05VDC","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","1",""
"K2","SRD-05VDC","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","1",""
"LED1","RED","LED_THT:LED_D5.0mm","1",""
"LED2","GRN","LED_THT:LED_D5.0mm","1",""
"R1","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R_PULL1","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R_TERM?","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","Bluepill_L","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"U2","Bluepill_R","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"U_MAX485","MAX485","Package_DIP:DIP-8_W7.62mm","1",""
"U_REG3V3","LD1117V33","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U_REG5V?","L7805CV","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U_ULN2003","ULN2003A","Package_DIP:DIP-16_W7.62mm","1",""
